time,keys,target_x,target_y,target_z,target_rx,target_ry,target_rz,feedback_p1,feedback_p2,feedback_p3,feedback_p4,feedback_p5,target_p1,target_p2,target_p3,target_p4,target_p5,pulse_err1,pulse_err2,pulse_err3,pulse_err4,pulse_err5
1789282536.7334762,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.7512598,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.7817729,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.797826,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.8175635,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.8337643,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.8647082,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.8831232,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.8996396,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.9161835,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.9315507,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.9507813,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.9831517,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.9995286,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.0144098,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.0455682,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.0614436,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.082879,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.1015916,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.117262,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.1326647,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.1657689,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.1812882,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.2005508,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.2171273,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.2324562,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.2668178,,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.282454,w,0.0016000000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.2978756,w,0.0018000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.3140895,w,0.0020000000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.3347433,w,0.0022000000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.3665037,w,0.0024000000000000007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.3806639,w,0.0026000000000000007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.4001496,w,0.002800000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.4173388,w,0.003000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.4334438,w,0.003200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.4661705,w,0.003400000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.4824297,w,0.003600000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.499771,w,0.0038000000000000013,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.5163534,w,0.004000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.5316515,w,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.565963,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.581759,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.5988634,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.6157699,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.6332736,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.6641996,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.6835792,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.7004824,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.7162993,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.730934,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.7503068,,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.782353,w,0.0044,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.7971478,w,0.0046,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.8172333,w,0.0048,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.8334668,w,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.8674283,w,0.005199999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.883914,w,0.0053999999999999986,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.9005747,w,0.005599999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.9158387,w,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.9332104,,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.9646754,,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.9826567,,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282537.9989002,,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.0149846,,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.0339935,,0.005799999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.0641768,w,0.0059999999999999975,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.0799043,w,0.006199999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.095619,w,0.006399999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.1160455,,0.006399999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.1314886,,0.006399999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.1630592,,0.006399999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.1817615,,0.006399999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.1987011,w,0.0065999999999999965,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.2176626,w,0.006799999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.2333114,w,0.006999999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.26495,,0.006999999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.2818265,,0.006999999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.3000596,,0.006999999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.3162081,,0.006999999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.333094,,0.006999999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.3648562,w,0.0071999999999999955,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.3809392,w,0.007399999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.400531,,0.007399999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.417151,,0.007399999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.4326875,,0.007399999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.4661474,,0.007399999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.4821756,,0.007399999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.4989667,w,0.007599999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.5142906,w,0.0077999999999999944,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.5333104,w,0.007999999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.5666833,,0.007999999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.5816736,,0.007999999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.5974073,,0.007999999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.6157522,,0.007999999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.6310196,,0.007999999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.6659493,w,0.008199999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.681205,w,0.008399999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.6963716,w,0.008599999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.7118285,,0.008599999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.7336478,,0.008599999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.7636094,,0.008599999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.7816854,,0.008599999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.7982104,,0.008599999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.8161304,w,0.008799999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.8318233,w,0.008999999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.8658938,w,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.8809345,,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.9005888,,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.9160423,,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.9307907,,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.9515092,,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.9828923,w,0.009399999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282538.999906,w,0.0096,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.0160272,w,0.0098,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.032479,,0.0098,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.0643291,,0.0098,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.0858417,,0.0098,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.1010537,w,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.1164713,w,0.0102,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.132133,w,0.010400000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.1647663,w,0.010600000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.1810217,w,0.010800000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.1980832,w,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.2165473,w,0.011200000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.2324307,w,0.011400000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.262781,w,0.011600000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.2821243,w,0.011800000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.2979777,w,0.012000000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.3152156,w,0.012200000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.3320699,w,0.012400000000000007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
